Index,Commit URL,Type Name,Description,Memo,Agreement,Annotator Name,File Path,Start Line (Before),End Line (Before),Start Line (After),End Line (After)
0a26ea33-d124-49e6-b2ba-f9da3664197a,https://github.com/b3dgs/lionengine/commit/649a57eca8fc3e0ca0b86fd6b7c0f2941e8bd234,Split Test Method,テストメソッドの分割,,,Mont9165,,,,,
ac43779c-1ab7-49a4-ba63-1233fa754d67,https://github.com/AICP/frameworks_base/commit/93702abf6e9a87079e81c46c82d8c3954a426759,Implicit Setup,,,,Mont9165,,,,,
ac43779c-1ab7-49a4-ba63-1233fa754d67,https://github.com/AICP/frameworks_base/commit/93702abf6e9a87079e81c46c82d8c3954a426759,Implicit Setup,,,,Mont9165,,,,,
ac43779c-1ab7-49a4-ba63-1233fa754d67,https://github.com/AICP/frameworks_base/commit/93702abf6e9a87079e81c46c82d8c3954a426759,Custom Assertion,,,,Mont9165,,,,,
ac43779c-1ab7-49a4-ba63-1233fa754d67,https://github.com/AICP/frameworks_base/commit/93702abf6e9a87079e81c46c82d8c3954a426759,Shared Fixture,,,,Mont9165,,,,,
c946cb17-f2ee-4df3-bbc5-a492d27e9e2a,https://github.com/hyphanet/fred/commit/2e68720627ae6447ba12d712a9e6e4a123e66b95,Test Helper,,,,Mont9165,,,,,
c946cb17-f2ee-4df3-bbc5-a492d27e9e2a,https://github.com/hyphanet/fred/commit/2e68720627ae6447ba12d712a9e6e4a123e66b95,Implicit Setup,,,,Mont9165,,,,,
8f4310e5-6de9-46e9-8abf-8f2d24180dc1,https://github.com/camunda/zeebe-process-test/commit/a626ee3f81b2043e54d5967c582e92a39aa340a8,Any Refactoring,EMBEDDED_CLASSESとTESTCONTAINER_CLASSESをCLASSESに統合してる．,,,Mont9165,,,,,
eb5bb02f-24c8-40aa-a734-8a1697a3f12a,https://github.com/camunda/camunda/commit/92eba248021bbeaa7afc16c18e315da5e5d55d00,Any Refactoring,flaky testを避けるためにawaitを入れている，これはリファクタリングではない気がするけど分からない,,,Mont9165,,,,,
4277ce69-71d5-49e6-9ce3-2341a5fe1ac1,https://github.com/arianne/stendhal/commit/6d30072ed40343b82d3056257171b8aeea755a72,Non-Refactoring,"すでに，user, charがあれば，それを消してから，再度データを作成するようにしている（Inline setup or 普通に処理の変更？）また，assertを追加している",,,Mont9165,,,,,
81f2c932-8060-4665-9290-bb8da792dbcd,https://github.com/apache/karaf/commit/100420f757c2bd6fe00a8d28c14a1388d665b8fe,Assert Throw,,,,Mont9165,,,,,
68b5c324-f2b7-4fb9-9694-6f8f13f8ce71,https://github.com/apache/openjpa/commit/5b7c20eacb99d974a48fcb6bc585ef6fd9f671d5,Delegated Setup,Creation Methodを使って，ハードコードを消してる,,,Mont9165,,,,,
e3c79919-4db5-45db-8608-4ef433e467a7,https://github.com/Yubico/yubikit-android/commit/df6326d29147b485207f305621d1afaf29935f0e,Any Refactoring,@RunWith(Enclosed.class)を使用して，構造的にテストクラスを作成してる（JUnit実践入門にも載ってた）,,,Mont9165,,,,,
c923938b-e98c-4afb-9114-c7c73282336e,https://github.com/commercetools/commercetools-sync-java/commit/da43fbb95db02ca35e447b9b8782c1ee46a174d0,Non-Refactoring,使用するメソッドを変更？,,,Mont9165,,,,,
e983e3a5-a70e-4c64-9f22-f2c6250bb40f,https://github.com/b3dgs/lionengine/commit/2f7245c77be2fb7cee0fdbf0b9ac09be1e0fbd49,Non-Refactoring,テストメソッド削除してるだけ,,,Mont9165,,,,,
f6613161-f59d-473a-94d1-f7b21e757148,https://github.com/commercetools/commercetools-sync-java/commit/3f3cc8cf4212932fbdaf89844efd3b13ef61ea51,Non-Refactoring,Importを変更しただけ，あとassertionを追加してる,,,Mont9165,,,,,
104dc8ae-2048-4fe8-9d29-36c1455b1b76,https://github.com/jMetal/jMetal/commit/50758e9b1ce75481dbb6f24abde08ec7ec66b346,Assert Throw,,,,Mont9165,,,,,
e8428dee-5e7d-44da-be1a-de68f8a28127,https://github.com/kousen/java_latest/commit/a826f54461a97b6859605e8a528f321785ae5ac9,Assert All,Split Test methodもやってる,,,Mont9165,,,,,
f3adf7ba-6ae8-4e9f-b939-863bd24e9562,https://github.com/jenkinsci/workflow-durable-task-step-plugin/commit/537e864aae80f3dd49e37f5528f81980013743a1,Delegated Setup,,,,Mont9165,,,,,
f3adf7ba-6ae8-4e9f-b939-863bd24e9562,https://github.com/jenkinsci/workflow-durable-task-step-plugin/commit/537e864aae80f3dd49e37f5528f81980013743a1,Any Refactoring,119行目からのCreate MethodがDelegated Setupに当たる気もするが，コミット前後で処理が異なると感じた,,,Mont9165,,,,,
97204f95-894c-4875-a4f9-98054f26e173,https://github.com/locationtech/jts/commit/78feb6c98c332eb1d1c6da2c584bbc51aae47dc7,Testcase Class,,,,Mont9165,,,,,
c65c19c6-aeae-4e76-96ee-915dd80ea34f,https://github.com/camunda/camunda/commit/8ca8e32882bd2d456dda926ce2ab6559ded0bd73,Non-Refactoring,テストメソッドを削除，またIgnoreを追加,,,Mont9165,,,,,
bdb90604-3229-48b5-be35-8f2970824cbc,https://github.com/b3dgs/lionengine/commit/15c0bb0215a2b5827855ef29444a3f8185d3811b,Any Refactoring,すべてJUnit4からJUnit5への移行（これをリファクタリングと言ってた，意外とバージョンアップもリファクタリングの一種なのかも,,,Mont9165,,,,,
f00f52d7-5c6c-4040-b320-f2bc3bc344fe,https://github.com/cassandre-tech/cassandre-trading-bot/commit/437cbf06ffd199922eae8c2ed092de93647461d5,Non-Refactoring,sleep timeを60から90に変化させている．,,,Mont9165,,,,,
d2d48d8c-79dd-499d-89d7-5f6042f10d39,https://github.com/blackducksoftware/detect/commit/327a4dfaba25c514460dc14a2fe33e12ad4649fa,Non-Refactoring,rename,,,Mont9165,,,,,
c16dc1e8-fca6-4742-99aa-1c63bad399fd,https://github.com/Consensys/tessera/commit/de2696e6a8f9656d99399fb45063ff4f95cb63bc,Any Refactoring,TemporaryFolderを使うように変更,,,Mont9165,,,,,
c16dc1e8-fca6-4742-99aa-1c63bad399fd,https://github.com/Consensys/tessera/commit/de2696e6a8f9656d99399fb45063ff4f95cb63bc,Implicit Teardown,,,,Mont9165,,,,,
c16dc1e8-fca6-4742-99aa-1c63bad399fd,https://github.com/Consensys/tessera/commit/de2696e6a8f9656d99399fb45063ff4f95cb63bc,Implicit Setup,,,,Mont9165,,,,,
c16dc1e8-fca6-4742-99aa-1c63bad399fd,https://github.com/Consensys/tessera/commit/de2696e6a8f9656d99399fb45063ff4f95cb63bc,Automated Teardown,,,,Mont9165,,,,,
2b3c4507-5af4-41bd-85c0-6228c2bc6161,https://github.com/FlowCI/flow-core-x/commit/3d87d7fd4dffcd91e3da170689c7577f2e393a81,Delegated Setup,,,,Mont9165,,,,,
4f68cb84-7813-4677-bdc2-0a813f0581f3,https://github.com/FasterXML/jackson-modules-java8/commit/8c3d032fb564148c39b5fdf1cdd6e314e6af1cb5,Any Refactoring,Custom Asssertionの削除,,,Mont9165,,,,,
4f68cb84-7813-4677-bdc2-0a813f0581f3,https://github.com/FasterXML/jackson-modules-java8/commit/8c3d032fb564148c39b5fdf1cdd6e314e6af1cb5,Any Refactoring,Merge Test Method,,,Mont9165,,,,,
dc3099f6-50e1-4474-b64c-789bb59d3a0d,https://github.com/virtualsatellite/VirtualSatellite4-Core/commit/fa78cb24126fb9d10fc7299210e835c4e2335577,Any Refactoring,,,,Mont9165,,,,,
fa70e7b2-198b-43a9-8591-6e24100f1c32,https://github.com/NitorCreations/nflow/commit/39a2a85f995c83c658c173898783217be849bf86,Non-Refactoring,ほかは普通のリファクタリング,,,Mont9165,,,,,
fa70e7b2-198b-43a9-8591-6e24100f1c32,https://github.com/NitorCreations/nflow/commit/39a2a85f995c83c658c173898783217be849bf86,Custom Assertion,,,,Mont9165,,,,,
4000963b-78b3-4e5f-8990-8b98670225ad,https://github.com/thoughtworks/HeartBeat/commit/40de27abf7a31466788e25a2350a88216f687eb7,Non-Refactoring,ただの修正,,,Mont9165,,,,,
ceb77f98-77aa-4e21-8d3d-db0efba80a50,https://github.com/release-engineering/pom-manipulation-ext/commit/a6ea809c30ef967f46ff71b7ab71dab97e4b1475,Non-Refactoring,非推奨になることを明記，またメソッドを分けて，処理を呼び出すメソッドと処理本体のメソッドを分けている,,,Mont9165,,,,,
ceb77f98-77aa-4e21-8d3d-db0efba80a50,https://github.com/release-engineering/pom-manipulation-ext/commit/a6ea809c30ef967f46ff71b7ab71dab97e4b1475,Test Helper,,,,Mont9165,,,,,
9bc45732-aad1-4a25-b6cc-a54971d74001,https://github.com/C2SP/wycheproof/commit/9c334080213a46b5f59c50b43909c6121e6dcb2d,Non-Refactoring,テストを追加したり，コメントを拡充してる,,,Mont9165,,,,,
f57e7ddb-af45-42df-96c8-190ca411211a,https://github.com/commercetools/commercetools-sync-java/commit/b9ac161df8dce50dcd65f093403013be0463cc3d,Non-Refactoring,TODOされたテストの追加，修飾子の変更,,,Mont9165,,,,,
2b0c698b-10bd-4477-8913-e72d30e57443,https://github.com/b3dgs/lionengine/commit/713e83096063d7b2c1f6fe2c9ce4469d84839efe,Non-Refactoring,,,,Mont9165,,,,,
2b0c698b-10bd-4477-8913-e72d30e57443,https://github.com/b3dgs/lionengine/commit/713e83096063d7b2c1f6fe2c9ce4469d84839efe,Any Refactoring,Junit4からJUnit5へのバージョンアップ，また依存性の削除,,,Mont9165,,,,,
991d567f-adab-4a42-bc2b-9a30de5eed54,https://github.com/alexprut/design-patterns-java/commit/2e8833b47eec7ad31f46a55456cccb269528414c,Non-Refactoring,チュートリアルリポジトリなのでスキップ,,,Mont9165,,,,,
6fca2c3c-e365-495b-9b5c-7ffb50a96e45,https://github.com/jcabi/jcabi-email/commit/7e7360f24b828bde1786f6ddd68ef1f48dffb223,Any Refactoring,Mockitoを使わなくなっている,,,Mont9165,,,,,
58852a43-3b41-4331-8eb8-d68ffc41845e,https://github.com/jenkinsci/remoting/commit/ffb771d86a6b593b5dca95940947527c53810c93,Inline Setup,setUpのannotationを外して全部Inline呼び出ししてるのはなんなんだ・・・？Inline Setupでいいのか？,,,niyaton,,,,,
58852a43-3b41-4331-8eb8-d68ffc41845e,https://github.com/jenkinsci/remoting/commit/ffb771d86a6b593b5dca95940947527c53810c93,Any Refactoring,UnShared Fixtureみたいなやつ．,,,niyaton,,,,,
1af76f25-72ab-4dd1-8f50-768da2f3b21f,https://github.com/ldbc/ldbc_snb_interactive_v1_impls/commit/b673a0e26122dbea1d7f44b22ed78b6d74a3ed00,Split Test Method,一杯あるのでタグづけしないですが一杯分割されている．,,,niyaton,,,,,
1af76f25-72ab-4dd1-8f50-768da2f3b21f,https://github.com/ldbc/ldbc_snb_interactive_v1_impls/commit/b673a0e26122dbea1d7f44b22ed78b6d74a3ed00,Non-Refactoring,いつもの切れ端なので無視してください．,,,niyaton,,,,,
1af76f25-72ab-4dd1-8f50-768da2f3b21f,https://github.com/ldbc/ldbc_snb_interactive_v1_impls/commit/b673a0e26122dbea1d7f44b22ed78b6d74a3ed00,Implicit Teardown,元の処理は派生しているクラスで書かれている．,,,niyaton,,,,,
1af76f25-72ab-4dd1-8f50-768da2f3b21f,https://github.com/ldbc/ldbc_snb_interactive_v1_impls/commit/b673a0e26122dbea1d7f44b22ed78b6d74a3ed00,Implicit Setup,,,,niyaton,,,,,
d58cfcb8-d22a-409d-96ed-9e6db59d12be,https://github.com/Tencent/TencentKona-11/commit/832d68597ec6af94bc870a22410d1be95eb2bfa5,Non-Refactoring,,,,niyaton,,,,,
7034db64-b9bb-4372-8e90-9ad164edd66e,https://github.com/remkop/picocli/commit/47cf9235a60ceddc8e583a4fd25b64aaae0d70ab,Non-Refactoring,,,,niyaton,,,,,
db6503ec-519c-4b96-bc4e-bd3994899e54,https://github.com/FasterXML/jackson-dataformats-text/commit/ea850727af5f84fc2fe706e3ca8d009aeb1f27dc,Shared Fixture,,,,niyaton,,,,,
db6503ec-519c-4b96-bc4e-bd3994899e54,https://github.com/FasterXML/jackson-dataformats-text/commit/ea850727af5f84fc2fe706e3ca8d009aeb1f27dc,Shared Fixture,,,,niyaton,,,,,
01c77936-88b7-490a-a914-6f81b2d2f75d,https://github.com/virtualsatellite/VirtualSatellite4-Core/commit/0832ee2b376b0516dcd23de296d4afaa15a42dec,Testcase Superclass,すごく自信がないがAProjectTestCaseがそうな気がする．,,,niyaton,,,,,
f6c8b491-684f-454a-ae38-6069a1d1a868,https://github.com/vt-middleware/passay/commit/1efb5b8f571b5a0889892f23a122afac15120115,Any Refactoring,Un Shared Fixture的なのをひたすらやっている・・・,,,niyaton,,,,,
ec4d560b-f39c-4d6a-b529-71c426d89eee,https://github.com/PixelExperience/frameworks_base/commit/38f298d4fb8cf0ce8c9885748aad4c79d8bf89b3,Any Refactoring,ライブラリか，別のタイミングで作ったテストUtilityを使ってリファクタリングをしているのは分かるが何かしらのリファクタリングパターンとして分類するのは難しい．,,,niyaton,,,,,
86b183d7-2128-40d5-a94c-90133848e277,https://github.com/confluentinc/kafka-connect-storage-cloud/commit/e4745b751e9d0d65f4120e3a5fc2c0e0f97ad6da,Non-Refactoring,無視してください．,,,niyaton,,,,,
86b183d7-2128-40d5-a94c-90133848e277,https://github.com/confluentinc/kafka-connect-storage-cloud/commit/e4745b751e9d0d65f4120e3a5fc2c0e0f97ad6da,Custom Assertion,,,,niyaton,,,,,
86b183d7-2128-40d5-a94c-90133848e277,https://github.com/confluentinc/kafka-connect-storage-cloud/commit/e4745b751e9d0d65f4120e3a5fc2c0e0f97ad6da,Implicit Setup,既にsetupがあるところに処理を持って来るのもimplicit setupとした．,,,niyaton,,,,,
86b183d7-2128-40d5-a94c-90133848e277,https://github.com/confluentinc/kafka-connect-storage-cloud/commit/e4745b751e9d0d65f4120e3a5fc2c0e0f97ad6da,Creation Method,createRecords（2つ）,,,niyaton,,,,,
4d587ee8-9f03-4281-90da-8efdaf223663,https://github.com/AdoptOpenJDK/jitwatch/commit/7788103ee76fde8751ccbe5adc03855c89ef4bdc,Any Refactoring,static化して高速化？,,,niyaton,,,,,
419ede40-2edf-4bd8-b56f-7f3f2ea73688,https://github.com/Baqend/Orestes-Bloomfilter/commit/a855f91f954e46802ca342bcdd57ae2a0b7644a2,Non-Refactoring,テストの挙動が変わっている,,,niyaton,,,,,
7935e507-d2d9-4141-80c8-debec4ae36ca,https://github.com/TEAMMATES/teammates/commit/18f1b3459f80eae83fbf15ba0096d4f0836182d4,Non-Refactoring,何かリファクタリングしてそうだがBaseComponentTestCaseクラスで，このコミットにはないためスキップ,,,Mont9165,,,,,
f7d38a22-115b-4634-a632-9bbba64e71f2,https://github.com/prmr/JetUML/commit/5dbebf84e65eacfac0fee980ff742e5365eb5a3d,Any Refactoring,呼び出しのところのリファクタリングな気がする,,,Mont9165,,,,,
5cd7566a-47a0-410d-9ab5-6aea77ab5948,https://github.com/wizzardo/webery/commit/ddb836c34d5ce087d2ab3688fef402dce85ebfbc,Any Refactoring,,,,Mont9165,,,,,
3969c814-4d1d-4db0-af35-a64569b3419f,https://github.com/mysql/mysql-connector-j/commit/cdb16c08c9347634161aafb86342fa2a31288e13,Non-Refactoring,,,,niyaton,,,,,
